,state,city,county,host,species,date,stage,bitecrawling,sex,habitat,activity
1,CO,Gold Hill,Boulder,human,Dermacentor andersoni,5/16/17,adult,bite,female,wooded,walking
2,CO,Boulder,Boulder,human,Dermacentor andersoni,6/20/17,adult,crawling,female,wooded,working out
3,CO,Paonia,Delta,human,Dermacentor andersoni,6/16/17,adult,bite,female,brush,unknown
4,CO,Gold Hill,Boulder,human,Dermacentor andersoni,6/19/17,adult,bite,female,wooded,walking
5,CO,Hayden,Routt,human,Dermacentor andersoni,6/24/17,adult,bite,female,wooded,camping
6,WY,Jackson,Teton,human,Dermacentor andersoni,6/25/17,adult,bite,female,wooded,camping
7,WY,Rock River,Albany,human,Dermacentor andersoni,4/23/16,adult,bite,female,yard,yard work
8,CO,San Luis Valley,Rio Grande,human,Dermacentor andersoni,6/11/17,adult,bite,male,unknown,walking
9,CO,Longmont,Boulder,human,Dermacentor andersoni,6/27/17,adult,bite,male,wooded,other
10,CO,Buena Vista,Chaffee,human,Dermacentor andersoni,5/11/16,adult,bite,male,unknown,NA
11,CO,El Paso City,El Paso,dog,Rhipicephalus sanguineus,5/17/16,adult,bite,female,unknown,dog gromer found it
12,CO,Jamestown,Boulder,human,Dermacentor andersoni,5/20/16,adult,bite,female,wooded area,camp
13,CO,Salida,Chaffee,human,Dermacentor andersoni,6/1/16,adult,bite,female,wooded area,unknown
14,CO,Ouray,Ouray,human,Dermacentor andersoni,5/30/16,adult,bite,female,wooded area,camping
15,CO,Denver,Denver,dog,Dermacentor andersoni,6/6/16,adult,bite,female,washington park,NA
16,CO,Salida,Chaffee,human,Dermacentor andersoni,6/2/16,adult,bite,female,lodgepole pine forest,forest management
17,CO,Brighton,Adams,bird,Not a tick,9/30/16,n/a,bite,n/a,unknown,NA
18,CO,Gunnison,Gunnison,n/a,Dermacentor andersoni,6/15/16,adult,crawling,male,lake shore,swimming at the lake
